Date	NAVPS	Year To Date Return(%)	Change from Previous Day (%)
2000-05-19	0.8809	0	0
2000-05-22	0.8549	-2.95	-2.95
2000-05-23	0.8501	-3.5	-0.56
2000-05-24	0.855	-2.94	0.58
2000-05-25	0.8578	-2.62	0.33
2000-05-26	0.8579	-2.61	0.01
2000-05-29	0.8776	-0.37	2.3
2000-05-30	0.8761	-0.54	-0.17
2000-05-31	0.8798	-0.12	0.42
2000-06-01	0.8776	-0.37	-0.25
2000-06-02	0.8956	1.67	2.05
2000-06-05	0.912	3.53	1.83
2000-06-06	0.9172	4.12	0.57
2000-06-07	0.9015	2.34	-1.71
2000-06-08	0.9075	3.02	0.67
2000-06-09	0.9014	2.33	-0.67
2000-06-13	0.9006	2.24	-0.09
2000-06-14	0.9023	2.43	0.19
2000-06-15	0.9177	4.18	1.71
2000-06-16	0.9207	4.52	0.33
2000-06-19	0.918	4.21	-0.29
2000-06-20	0.9182	4.23	0.02
2000-06-21	0.9158	3.96	-0.26
2000-06-22	0.9128	3.62	-0.33
2000-06-23	0.912	3.53	-0.09
2000-06-26	0.9094	3.24	-0.29
2000-06-27	0.9089	3.18	-0.05
2000-06-28	0.9066	2.92	-0.25
2000-06-29	0.9075	3.02	0.1
2000-06-30	0.9086	3.14	0.12
2000-07-03	0.9101	3.31	0.17
2000-07-04	0.9117	3.5	0.18
2000-07-05	0.913	3.64	0.14
2000-07-06	0.9136	3.71	0.07
2000-07-07	0.9162	4.01	0.28
2000-07-10	0.9192	4.35	0.33
2000-07-11	0.9206	4.51	0.15
2000-07-12	0.9257	5.09	0.55
2000-07-13	0.9286	5.41	0.31
2000-07-14	0.9252	5.03	-0.37
2000-07-17	0.9232	4.8	-0.22
2000-07-18	0.9145	3.81	-0.94
2000-07-19	0.911	3.42	-0.38
2000-07-20	0.9007	2.25	-1.13
2000-07-21	0.8959	1.7	-0.53
2000-07-24	0.8942	1.51	-0.19
2000-07-25	0.8942	1.51	0
2000-07-26	0.8924	1.31	-0.2
2000-07-27	0.882	0.12	-1.17
2000-07-28	0.886	0.58	0.45
2000-07-31	0.8789	-0.23	-0.8
2000-08-01	0.8765	-0.5	-0.27
2000-08-02	0.8771	-0.43	0.07
2000-08-03	0.8856	0.53	0.97
2000-08-04	0.8921	1.27	0.73
2000-08-07	0.8931	1.38	0.11
2000-08-08	0.8885	0.86	-0.52
2000-08-09	0.8919	1.25	0.38
2000-08-10	0.8948	1.58	0.33
2000-08-11	0.898	1.94	0.36
2000-08-14	0.8951	1.61	-0.32
2000-08-15	0.8964	1.76	0.15
2000-08-16	0.8962	1.74	-0.02
2000-08-17	0.9037	2.59	0.84
2000-08-18	0.906	2.85	0.25
2000-08-21	0.902	2.4	-0.44
2000-08-22	0.9046	2.69	0.29
2000-08-23	0.9027	2.47	-0.21
2000-08-24	0.9023	2.43	-0.04
2000-08-25	0.9027	2.47	0.04
2000-08-28	0.9088	3.17	0.68
2000-08-29	0.9114	3.46	0.29
2000-08-30	0.9143	3.79	0.32
2000-08-31	0.917	4.1	0.3
2000-09-01	0.914	3.76	-0.33
2000-09-04	0.9139	3.75	-0.01
2000-09-05	0.9161	4	0.24
2000-09-06	0.9132	3.67	-0.32
2000-09-07	0.9103	3.34	-0.32
2000-09-08	0.9108	3.39	0.05
2000-09-11	0.9038	2.6	-0.77
2000-09-12	0.9021	2.41	-0.19
2000-09-13	0.8993	2.09	-0.31
2000-09-14	0.8872	0.72	-1.35
2000-09-15	0.8886	0.87	0.16
2000-09-18	0.8847	0.43	-0.44
2000-09-19	0.8787	-0.25	-0.68
2000-09-20	0.881	0.01	0.26
2000-09-21	0.877	-0.44	-0.45
2000-09-22	0.8751	-0.66	-0.22
2000-09-25	0.8769	-0.45	0.21
2000-09-26	0.8764	-0.51	-0.06
2000-09-27	0.881	0.01	0.52
2000-09-28	0.8819	0.11	0.1
2000-09-29	0.8792	-0.19	-0.31
2000-10-02	0.8744	-0.74	-0.55
2000-10-03	0.8637	-1.95	-1.22
2000-10-04	0.8561	-2.82	-0.88
2000-10-05	0.8617	-2.18	0.65
2000-10-06	0.8612	-2.24	-0.06
2000-10-09	0.8525	-3.22	-1.01
2000-10-10	0.84	-4.64	-1.47
2000-10-11	0.8384	-4.82	-0.19
2000-10-12	0.8365	-5.04	-0.23
2000-10-13	0.08378		
2000-10-16	0.8301	-5.77	-0.92
2000-10-17	0.8211	-6.79	-1.08
2000-10-18	0.8185	-7.08	-0.32
2000-10-19	0.8146	-7.53	-0.48
2000-10-20	0.8158	-7.39	0.15
2000-10-23	0.819	-7.03	0.39
2000-10-24	0.8248	-6.37	0.71
2000-10-25	0.8293	-5.86	0.55
2000-10-26	0.8295	-5.83	0.02
2000-10-27	0.8267	-6.15	-0.34
2000-10-30	0.8259	-6.24	-0.1
2000-10-31	0.8269	-6.13	0.12
2000-11-06	0.8783	-0.3	6.22
2000-11-07	0.8863	0.61	0.91
2000-11-08	0.8756	-0.6	-1.21
2000-11-09	0.8804	-0.06	0.55
2000-11-10	0.8864	0.62	0.68
2000-11-13	0.8769	-0.45	-1.07
2000-11-14	0.8794	-0.17	0.29
2000-11-15	0.8784	-0.28	-0.11
2000-11-16	0.8788	-0.24	0.05
2000-11-17	0.8798	-0.12	0.11
2000-11-20	0.8802	-0.08	0.05
2000-11-21	0.8739	-0.79	-0.72
